fecha;mag007;mag008;mag012;mag014
2011-04-21;3.0;12.0;17.0;91.0
2011-04-22;3.0;10.0;15.0;95.0
2011-04-23;3.0;13.0;19.0;85.0
2011-04-24;3.0;8.0;13.0;89.0
2011-04-25;4.0;14.0;20.0;86.0
2011-04-26;4.0;15.0;21.0;98.0
2011-04-27;6.0;26.0;35.0;104.0
2011-04-28;6.0;28.0;37.0;96.0
2011-04-29;4.0;18.0;25.0;98.0
2011-04-30;3.0;16.0;20.0;90.0
2011-05-01;3.0;13.0;19.0;92.0
2011-05-02;5.0;21.0;29.0;83.0
2011-05-03;9.0;33.0;48.0;61.0
2011-05-04;10.0;35.0;50.0;67.0
2011-05-05;9.0;35.0;50.0;68.0
2011-05-06;4.0;15.0;21.0;97.0
2011-05-07;4.0;16.0;21.0;87.0
2011-05-08;6.0;27.0;36.0;71.0
2011-05-09;7.0;28.0;38.0;69.0
2011-05-10;6.0;26.0;36.0;81.0
2011-05-11;6.0;28.0;37.0;78.0
2011-05-12;6.0;29.0;39.0;76.0
2011-05-13;5.0;26.0;34.0;84.0
2011-05-14;5.0;21.0;29.0;75.0
2011-05-15;3.0;7.0;12.0;91.0
2011-05-16;5.0;17.0;24.0;83.0
2011-05-17;5.0;24.0;32.0;73.0
2011-05-18;6.0;22.0;31.0;72.0
2011-05-19;4.0;15.0;21.0;74.0
2011-05-20;7.0;26.0;37.0;64.0
2011-05-21;4.0;19.0;26.0;96.0
2011-05-22;4.0;22.0;27.0;85.0
2011-05-23;5.0;22.0;29.0;95.0
2011-05-24;4.0;24.0;30.0;91.0
2011-05-25;5.0;31.0;40.0;87.0
2011-05-26;7.0;28.0;38.0;93.0
2011-05-27;7.0;32.0;42.0;60.0
2011-05-28;7.0;24.0;35.0;69.0
2011-05-29;4.0;12.0;18.0;83.0
2011-05-30;6.0;20.0;29.0;64.0
2011-05-31;4.0;14.0;20.0;69.0
2011-06-01;3.0;8.0;12.0;86.0
2011-06-02;3.0;10.0;15.0;93.0
2011-06-03;3.0;15.0;20.0;93.0
2011-06-04;3.0;14.0;19.0;85.0
2011-06-05;4.0;13.0;19.0;88.0
2011-06-06;6.0;35.0;45.0;71.0
2011-06-07;7.0;33.0;43.0;64.0
2011-06-08;5.0;18.0;25.0;72.0
2011-06-09;9.0;30.0;45.0;70.0
2011-06-10;7.0;25.0;35.0;72.0
2011-06-11;4.0;14.0;20.0;73.0
2011-06-12;5.0;17.0;23.0;73.0
2011-06-13;8.0;25.0;36.0;71.0
2011-06-14;6.0;27.0;37.0;77.0
2011-06-15;8.0;28.0;41.0;81.0
2011-06-16;12.0;39.0;57.0;65.0
2011-06-17;10.0;32.0;48.0;67.0
2011-06-18;5.0;17.0;24.0;77.0
2011-06-19;3.0;23.0;29.0;95.0
2011-06-20;6.0;31.0;41.0;75.0
2011-06-21;9.0;35.0;49.0;63.0
2011-06-22;8.0;33.0;45.0;60.0
2011-06-23;4.0;19.0;25.0;95.0
2011-06-24;4.0;19.0;25.0;101.0
2011-06-25;4.0;20.0;26.0;97.0
2011-06-26;4.0;20.0;26.0;96.0
2011-06-27;5.0;25.0;32.0;85.0
2011-06-28;7.0;32.0;43.0;80.0
2011-06-29;4.0;15.0;22.0;88.0
2011-06-30;4.0;17.0;23.0;98.0
2011-07-01;5.0;20.0;28.0;93.0
2011-07-02;4.0;21.0;27.0;83.0
2011-07-03;4.0;16.0;22.0;81.0
2011-07-04;0.0;0.0;0.0;0.0
2011-07-05;0.0;0.0;0.0;0.0
2011-07-06;0.0;0.0;0.0;0.0
2011-07-07;0.0;0.0;0.0;0.0
2011-07-08;0.0;0.0;0.0;0.0
2011-07-09;0.0;0.0;0.0;0.0
2011-07-10;6.0;24.0;34.0;77.0
2011-07-11;7.0;35.0;46.0;82.0
2011-07-12;11.0;36.0;53.0;62.0
2011-07-13;3.0;12.0;17.0;85.0
2011-07-14;3.0;17.0;22.0;92.0
2011-07-15;4.0;25.0;31.0;92.0
2011-07-16;4.0;21.0;27.0;92.0
2011-07-17;3.0;11.0;15.0;77.0
2011-07-18;4.0;17.0;23.0;72.0
2011-07-19;3.0;11.0;16.0;71.0
2011-07-20;5.0;17.0;25.0;73.0
2011-07-21;9.0;23.0;36.0;70.0
2011-07-22;4.0;10.0;15.0;88.0
2011-07-23;3.0;8.0;12.0;90.0
2011-07-24;3.0;5.0;9.0;73.0
2011-07-25;4.0;10.0;16.0;68.0
